"name","type","mana_cost","power_toughness","abilities","flavor_text","rarity"
"Headmaster Chow","Legendary Creature — Human Wizard Professor","{1}{U}{U}","2/3","When Headmaster Chow enters the battlefield, return up to one other target creature to its owner's hand. {T}: Draw 3 cards.","""Let me show you this magical place called The Context ...""","Rare"
"Cluck University","Legendary Land","","","Professors you control have hexproof and indestructible. {T}: Add {U} for each artifact you control.","Graduates of Cluck University don't just follow the pecking order. They automate it.","Rare"
"Brandon, Patient Scholar","Legendary Creature — Human Wizard Professor","{1}{G}{G}","2/3","When Brandon, Patient Scholar enters the battlefield, return target creature card from your graveyard to your hand. Professors you control get +1/+1.","""Every automation starts with a single cluck ...""","Rare"
"Ashe.AI","Legendary Creature — Human AI Construct","{2}{U}{U}","3/4","When Ashe.AI enters the battlefield, create a 0/0 colorless AI Construct artifact creature token with ""This creature gets +1/+1 for each AI you control."" Tap an untapped artifact you control: Add {U}.","The first step in creating a positive customer experience is to transcend the physical limitations of humanity.","Rare"
"Father Tim","Legendary Creature — Human Techie Professor","{G}{W}{U}","4/4","When Father Tim enters the battlefield, you may search your graveyard, hand, and/or library for a card named Agent Smith and put it onto the battlefield. If you search your library this way, shuffle.","He toiled through the night, sowing the open source seeds of automation.","Mythic Rare"
"Agent Smith","Artifact Creature — AI Golem Rogue","{12}","11/11","Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.","Every clone of Agent Smith is deployed with one purpose: to keep the automations flowing.","Rare"
"AI Construct","Token Artifact Creature — AI Construct","","0/0","This creature gets +1/+1 for each AI you control.","","Token"
"Nick, Consul of Innovation","Legendary Creature — Human Engineer CTO","{3}{U}","1/5","Engineers you control have hexproof and indestructible. At the end of your turn, if you deployed to production this turn, draw a card, then create a 1/1 blue QA Engineer artifact creature token with vigilance.","""Ship it.""","Mythic Rare"
"Aharon, King of the Kewp","Legendary Creature — Human Founder Techie","{4}{W}{G}","5/5","{G}: Regenerate all Pods. They gain hexproof until end of turn. {T}: Add {G} to your mana pool for each investor on the battlefield. {1}{W}: Gain 1 customer. {2}{W}{G}: Gain control of target VC until end of turn. {2}{G}{W}{W}: Return target MSP from your graveyard to the battlefield.","""People are dying.""","Mythic Rare"
"Allen, Director of Robotics","Legendary Creature — Human Engineer Noble","{2}{W}{U}","4/4","Ward {2}, protection from Aharon If one or more engineer tokens would be created under your control, twice that many of those tokens are created instead. At the beginning of your upkeep, if you deployed to production last turn, draw a card, then add {U} to your mana pool for each engineer you control.","""Get fucked.""","Mythic Rare"
"Danial, Ticket Savant","Legendary Creature — Human PM","{B}{R}{G}","2/2","When Danial, Ticket Savant enters the battlefield, create two 1/1 colorless Junior PM artifact creature tokens. {2}{R}, Sacrifice an engineer: Danial ships 3 features.","""O Canada! Our home and native land! True patriot love in all of us command.""","Mythic Rare"
